(0.8149039457,0.6556166849)
(0.6014048539,0.7407850038)
(0.36189861,0.8649304349)
(-1.0058231,-0.00198491738)
(0.9001367497,-0.4513959286)
(0.8628712833,0.345259557)
(-0.5342804782,0.8470846342)
(0.5229378664,0.7911100741)
(0.01507908522,0.8913226654)
(0.5376715221,-0.7780000956)
(0.8383534618,0.4268520721)
(1.034919151,0.3114108544)
(-0.6749116314,-0.7457899587)
(0.9659430903,0.268101111)
(-0.2607003075,-0.9606439862)
(0.6016740445,0.6700330267)
(0.683292184,-0.7895794315)
(-0.9909886856,-0.02902171543)
(0.9732944635,0.2581478741)
(0.7604603421,0.6001919501)
(0.8984047403,-0.0621601018)
(-0.4988656874,0.773402385)
(0.9189594199,-0.4341447384)
(-0.1286154065,0.9577771869)
(0.3919601249,0.8262748608)
(-0.4890670734,-0.8402957895)
(0.6118975051,-0.8115204837)
(-0.2376798172,-0.9451343631)
(0.04714595268,-0.9594554713)
(0.5519118426,-0.84267175)
(0.3334442457,-0.9441844607)
(0.5865049233,-0.7611990692)
(0.6644417236,-0.7595022294)
(-1.070609355,-0.2086969851)
(0.2043615496,-0.8832911372)
(-0.9843238481,0.1872627142)
(-0.8870877116,-0.4342272646)
(-0.2156540824,0.9804447233)
(-0.9902566139,-0.1712013703)
(0.633349697,-0.7732892334)
(0.8542617559,-0.6098971631)
(0.2180963137,-0.9674254266)
(0.3583273791,-0.9191057745)
